#model:pConst	end_point_b=0.20
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.100067	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.604130	1.604131	1.604159	0.821618	0.548141	0.152886	-0.027397	-0.018279	-0.005103
0.100133	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.637463	1.637465	1.637521	0.820249	0.547227	0.152630	-0.054764	-0.036537	-0.010199
0.100200	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.670796	1.670799	1.670883	0.817968	0.545706	0.152206	-0.082071	-0.054755	-0.015285
0.100267	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.704130	1.704133	1.704245	0.814778	0.543578	0.151612	-0.109285	-0.072912	-0.020353
0.100333	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.737463	1.737467	1.737607	0.810683	0.540846	0.150849	-0.136379	-0.090987	-0.025399
0.100400	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.770796	1.770802	1.770969	0.805688	0.537513	0.149919	-0.163321	-0.108962	-0.030417
0.100467	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.804130	1.804136	1.804331	0.799797	0.533583	0.148822	-0.190082	-0.126816	-0.035401
0.100533	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.837463	1.837470	1.837692	0.793018	0.529060	0.147559	-0.216631	-0.144529	-0.040345
0.100600	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.870796	1.870804	1.871054	0.785357	0.523949	0.146132	-0.242940	-0.162081	-0.045245
0.100667	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.904130	1.904139	1.904415	0.776824	0.518256	0.144543	-0.268978	-0.179453	-0.050095
0.100733	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.937463	1.937473	1.937775	0.767428	0.511987	0.142793	-0.294718	-0.196626	-0.054888
0.100800	-167.240529	-166.825364	334.065893	0.415166	501.306422	1.970797	1.970807	1.971136	0.757179	0.505150	0.140884	-0.320131	-0.213580	-0.059621
0.100867	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.004130	2.004141	2.004496	0.746089	0.497751	0.138819	-0.345187	-0.230297	-0.064288
0.100933	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.037463	2.037475	2.037855	0.734170	0.489799	0.136599	-0.369861	-0.246758	-0.068883
0.101000	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.070797	2.070810	2.071214	0.721436	0.481303	0.134227	-0.394123	-0.262945	-0.073402
0.101067	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.104130	2.104144	2.104573	0.707900	0.472272	0.131707	-0.417947	-0.278840	-0.077839
0.101133	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.137464	2.137478	2.137931	0.693577	0.462716	0.129039	-0.441307	-0.294425	-0.082189
0.101200	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.170797	2.170812	2.171289	0.678484	0.452647	0.126228	-0.464177	-0.309683	-0.086449
0.101267	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.204131	2.204147	2.204646	0.662637	0.442074	0.123277	-0.486531	-0.324597	-0.090612
0.101333	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.237464	2.237481	2.238003	0.646054	0.431010	0.120188	-0.508344	-0.339150	-0.094674
0.101400	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.270798	2.270815	2.271359	0.628753	0.419468	0.116966	-0.529593	-0.353326	-0.098632
0.101467	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.304131	2.304149	2.304714	0.610753	0.407459	0.113614	-0.550253	-0.367110	-0.102479
0.101533	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.337465	2.337484	2.338069	0.592075	0.394998	0.110135	-0.570302	-0.380486	-0.106213
0.101600	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.370799	2.370818	2.371423	0.572739	0.382097	0.106534	-0.589717	-0.393439	-0.109829
0.101667	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.404132	2.404152	2.404777	0.552767	0.368772	0.102814	-0.608477	-0.405955	-0.113323
0.101733	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.437466	2.437486	2.438129	0.532180	0.355038	0.098980	-0.626560	-0.418020	-0.116691
0.101800	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.470800	2.470820	2.471481	0.511002	0.340909	0.095036	-0.643948	-0.429620	-0.119929
0.101867	-167.240529	-166.825364	334.065893	0.415166	501.306422	2.504133	2.504155	2.504833	0.489257	0.326401	0.090986	-0.660620	-0.440743	-0.123034
