#model:pLinear_up	end_point_b=0.20
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.100014	-16259.761629	-15044.230112	31303.991741	1215.531517	47563.753370	1.572151	1.591147	2.193780	0.822063	0.548332	0.124283	-0.001114	-0.011161	-0.089288
0.100029	-16259.765415	-15044.236407	31304.001822	1215.529008	47563.767237	1.573496	1.611487	2.816290	0.822031	0.547992	0.048959	-0.002219	-0.022311	-0.145156
0.100043	-16259.769201	-15044.242701	31304.011902	1215.526500	47563.781103	1.574821	1.631809	-2.845119	0.821985	0.547432	-0.044813	-0.003308	-0.033442	-0.146698
0.100057	-16259.772987	-15044.248996	31304.021983	1215.523991	47563.794970	1.576128	1.652112	-2.224099	0.821937	0.546659	-0.121936	-0.004382	-0.044550	-0.093333
0.100071	-16259.776773	-15044.255290	31304.032063	1215.521483	47563.808836	1.577423	1.672401	-1.603570	0.821893	0.545678	-0.153546	-0.005446	-0.055635	-0.005034
0.100086	-16259.780559	-15044.261585	31304.042144	1215.518974	47563.822703	1.578716	1.692687	-0.983092	0.821858	0.544493	-0.127812	-0.006509	-0.066699	0.085153
0.100100	-16259.784345	-15044.267879	31304.052225	1215.516466	47563.836570	1.580020	1.712978	-0.362204	0.821827	0.543100	-0.054366	-0.007580	-0.077744	0.143475
0.100114	-16259.788131	-15044.274174	31304.062305	1215.513957	47563.850436	1.581340	1.733284	0.259404	0.821794	0.541497	0.039305	-0.008665	-0.088769	0.148104
0.100129	-16259.791917	-15044.280468	31304.072386	1215.511449	47563.864303	1.582678	1.753605	0.881784	0.821750	0.539677	0.118141	-0.009764	-0.099771	0.097310
0.100143	-16259.795703	-15044.286763	31304.082466	1215.508940	47563.878169	1.584027	1.773937	1.504702	0.821685	0.537634	0.152638	-0.010872	-0.110743	0.010103
0.100157	-16259.799489	-15044.293057	31304.092547	1215.506432	47563.892036	1.585377	1.794271	2.127725	0.821597	0.535368	0.129884	-0.011980	-0.121674	-0.080876
0.100171	-16259.803275	-15044.299352	31304.102627	1215.503924	47563.905902	1.586714	1.814595	2.750382	0.821488	0.532880	0.058396	-0.013078	-0.132552	-0.141577
0.100186	-16259.807061	-15044.305646	31304.112708	1215.501415	47563.919769	1.588033	1.834900	-2.910846	0.821366	0.530178	-0.035070	-0.014159	-0.143371	-0.149279
0.100200	-16259.810848	-15044.311941	31304.122788	1215.498907	47563.933636	1.589332	1.855182	-2.289664	0.821239	0.527268	-0.115533	-0.015224	-0.154125	-0.101099
0.100214	-16259.814634	-15044.318235	31304.132869	1215.496399	47563.947502	1.590615	1.875444	-1.669049	0.821117	0.524157	-0.152878	-0.016276	-0.164813	-0.015069
0.100229	-16259.818420	-15044.324529	31304.142949	1215.493890	47563.961369	1.591895	1.895693	-1.048591	0.821003	0.520849	-0.133127	-0.017324	-0.175439	0.076614
0.100243	-16259.822206	-15044.330824	31304.153030	1215.491382	47563.975236	1.593181	1.915940	-0.427822	0.820895	0.517344	-0.063673	-0.018379	-0.186003	0.139637
0.100257	-16259.825992	-15044.337118	31304.163110	1215.488874	47563.989102	1.594483	1.936195	0.193612	0.820786	0.513638	0.029491	-0.019446	-0.196507	0.150413
0.100271	-16259.829778	-15044.343413	31304.173191	1215.486366	47564.002969	1.595802	1.956462	0.815823	0.820666	0.509726	0.111496	-0.020525	-0.206947	0.104910
0.100286	-16259.833564	-15044.349707	31304.183271	1215.483857	47564.016836	1.597131	1.976740	1.438640	0.820528	0.505604	0.151651	-0.021613	-0.217317	0.020159
0.100300	-16259.837351	-15044.356001	31304.193352	1215.481349	47564.030702	1.598460	1.997020	2.061664	0.820367	0.501271	0.134928	-0.022700	-0.227606	-0.072119
0.100314	-16259.841137	-15044.362295	31304.203432	1215.478841	47564.044569	1.599779	2.017292	2.684425	0.820184	0.496728	0.067585	-0.023778	-0.237804	-0.137388
0.100329	-16259.844923	-15044.368590	31304.213513	1215.476333	47564.058436	1.601077	2.037545	-2.976636	0.819987	0.491984	-0.025173	-0.024837	-0.247902	-0.151217
0.100343	-16259.848709	-15044.374884	31304.223593	1215.473825	47564.072302	1.602354	2.057772	-2.355285	0.819786	0.487045	-0.108629	-0.025879	-0.257895	-0.108431
0.100357	-16259.852495	-15044.381178	31304.233674	1215.471317	47564.086169	1.603613	2.077974	-1.734561	0.819589	0.481921	-0.151547	-0.026906	-0.267784	-0.025042
0.100371	-16259.856282	-15044.387473	31304.243754	1215.468809	47564.100036	1.604865	2.098156	-1.114090	0.819401	0.476615	-0.137865	-0.027927	-0.277569	0.067741
0.100386	-16259.860068	-15044.393767	31304.253835	1215.466301	47564.113902	1.606122	2.118329	-0.493410	0.819219	0.471130	-0.072703	-0.028952	-0.287255	0.135193
0.100400	-16259.863854	-15044.400061	31304.263915	1215.463793	47564.127769	1.607392	2.138502	0.127865	0.819039	0.465461	0.019551	-0.029987	-0.296841	0.152070
0.100414	-16259.867640	-15044.406355	31304.273996	1215.461285	47564.141636	1.608677	2.158682	0.749903	0.818849	0.459606	0.104370	-0.031034	-0.306326	0.112056
